transaction_id,matched_address_id,confidence_score,match_type,original_address,normalized_address,matched_address
none-south-5th-street-unit-2-brooklyn-ny-11211,,0.0,no_match,South 5th Street Unit 2,S 5TH ST 2,
none-south-8th-street-unit-1a-brooklyn-ny-11211-0,,0.0,no_match,South 8th Street Unit 1A,S 8TH ST 1A,
none-union-avenue-unit-206-brooklyn-ny-11211,,0.0,no_match,Union Avenue Unit 206,UNION AVE 206,
none-skillman-avenue-unit-1-brooklyn-ny-11211,,0.0,no_match,Skillman Avenue Unit 1,SKILLMAN AVE 1,
none-jackson-street-unit-ph-brooklyn-ny-11211,,0.0,no_match,Jackson Street Unit PH,JACKSON ST PH,
none-skillman-avenue-unit-2-brooklyn-ny-11211-0,,0.0,no_match,Skillman Avenue Unit 2,SKILLMAN AVE 2,
none-bayard-street-unit-3g-brooklyn-ny-11211-0,,0.0,no_match,Bayard Street Unit 3G,BAYARD ST 3G,
none-north-11th-street-unit-5r-brooklyn-ny-11211-0,,0.0,no_match,North 11th Street Unit 5R,N 11TH ST 5R,
none-manhattan-avenue-none-brooklyn-ny-11211-0,,0.0,no_match,Manhattan Avenue,MANHATTAN AVE,
none-manhattan-avenue-unit-3f-brooklyn-ny-11211-0,,0.0,no_match,Manhattan Avenue Unit 3F,MANHATTAN AVE 3F,
none-south-5th-street-unit-2-brooklyn-ny-11211-0,,0.0,no_match,South 5th Street Unit 2,S 5TH ST 2,
none-skillman-avenue-unit-1a-brooklyn-ny-11211-0,,0.0,no_match,Skillman Avenue Unit 1A,SKILLMAN AVE 1A,
none-south-5th-street-unit-c2-brooklyn-ny-11211,,0.0,no_match,South 5th Street Unit C2,S 5TH ST C2,
none-jackson-street-unit-3b-brooklyn-ny-11211-0,,0.0,no_match,Jackson Street Unit 3B,JACKSON ST 3B,
none-north-8th-street-none-brooklyn-ny-11211-0,,0.0,no_match,North 8th Street,N 8TH ST,
none-manhattan-avenue-unit-4f-brooklyn-ny-11211-0,,0.0,no_match,Manhattan Avenue Unit 4F,MANHATTAN AVE 4F,
none-skillman-avenue-unit-3-brooklyn-ny-11211-0,,0.0,no_match,Skillman Avenue Unit 3,SKILLMAN AVE 3,
none-jackson-street-unit-ph-brooklyn-ny-11211-0,,0.0,no_match,Jackson Street Unit PH,JACKSON ST PH,
none-north-8th-street-unit-ph-brooklyn-ny-11211-0,,0.0,no_match,North 8th Street Unit PH,N 8TH ST PH,
none-devoe-street-unit-2r-brooklyn-ny-11211-0,,0.0,no_match,Devoe Street Unit 2R,DEVOE ST 2R,
none-lorimer-street-unit-1-brooklyn-ny-11211,,0.0,no_match,Lorimer Street Unit 1,LORIMER ST 1,
none-skillman-avenue-unit-3b-brooklyn-ny-11211,,0.0,no_match,Skillman Avenue Unit 3B,SKILLMAN AVE 3B,
none-division-avenue-unit-16-brooklyn-ny-11211-0,,0.0,no_match,Division Avenue Unit 16,DIVISION AVE 16,
none-havemeyer-street-unit-6a-brooklyn-ny-11211-0,,0.0,no_match,Havemeyer Street Unit 6A,HAVEMEYER ST 6A,
none-devoe-street-none-brooklyn-ny-11211-0,,0.0,no_match,Devoe Street,DEVOE ST,
none-skillman-avenue-unit-4f-brooklyn-ny-11211-0,,0.0,no_match,Skillman Avenue Unit 4F,SKILLMAN AVE 4F,
none-maspeth-avenue-unit-2d-brooklyn-ny-11211-0,,0.0,no_match,Maspeth Avenue Unit 2D,MASPETH AVE 2D,
none-bayard-street-unit-3b-brooklyn-ny-11211-0,,0.0,no_match,Bayard Street Unit 3B,BAYARD ST 3B,
none-north-11th-street-unit-4w-brooklyn-ny-11211-0,,0.0,no_match,North 11th Street Unit 4W,N 11TH ST 4W,
none-grand-street-none-brooklyn-ny-11211-0,,0.0,no_match,Grand Street,GRAND ST,
none-maspeth-avenue-unit-7c-brooklyn-ny-11211,,0.0,no_match,Maspeth Avenue Unit 7C,MASPETH AVE 7C,
