transaction_id,original_address,normalized_address,house,street,strtype,apttype,aptnbr,city,state,zip
none-manhattan-avenue-unit-2-brooklyn-ny-11211,Manhattan Avenue Unit 2,MANHATTAN AVE 2,,Manhattan,Avenue,Unit,2,,,
none-hope-street-unit-pha-brooklyn-ny-11211,Hope Street Unit PHA,HOPE ST PHA,,Hope,Street,Unit,PHA,,,
none-15-roebling-street-unit-4a-brooklyn-ny-11211,15 Roebling Street Unit 4A,15 ROEBLING ST 4A,15,Roebling,Street,Unit,4A,,,
none-237-withers-street-none-brooklyn-ny-11211,237 Withers Street,237 WITHERS ST,237,Withers,Street,,,,,
none-100-maspeth-avenue-unit-2j-brooklyn-ny-11211,100 Maspeth Avenue Unit 2J,100 MASPETH AVE 2J,100,Maspeth,Avenue,Unit,2J,,,
none-432-grand-street-unit-201-brooklyn-ny-11211,432 Grand Street Unit 201,432 GRAND ST 201,432,Grand,Street,Unit,201,,,
none-50-bayard-street-unit-2g-brooklyn-ny-11211,50 Bayard Street Unit 2G,50 BAYARD ST 2G,50,Bayard,Street,Unit,2G,,,
none-224-north-6th-street-unit-2r-brooklyn-ny-11211,224 North 6th Street Unit 2R,224 N 6TH ST 2R,224,6th,Street,Unit,2R,,,
none-305-union-avenue-unit-4d-5d-brooklyn-ny-11211,305 Union Avenue Unit 4D/5D,305 UNION AVE 4D/5D,305,Union,Avenue,Unit,4D/5D,,,
none-305-union-avenue-unit-5c-brooklyn-ny-11211,305 Union Avenue Unit 5C,305 UNION AVE 5C,305,Union,Avenue,Unit,5C,,,
none-179-jackson-street-unit-5a-brooklyn-ny-11211,179 Jackson Street Unit 5A,179 JACKSON ST 5A,179,Jackson,Street,Unit,5A,,,
none-284-manhattan-avenue-none-brooklyn-ny-11211,284 Manhattan Avenue,284 MANHATTAN AVE,284,Manhattan,Avenue,,,,,
none-50-bayard-street-unit-3j-brooklyn-ny-11211,50 Bayard Street Unit 3J,50 BAYARD ST 3J,50,Bayard,Street,Unit,3J,,,
none-229-withers-street-unit-3b-brooklyn-ny-11211,229 Withers Street Unit 3B,229 WITHERS ST 3B,229,Withers,Street,Unit,3B,,,
none-bayard-street-unit-2g-brooklyn-ny-11211,Bayard Street Unit 2G,BAYARD ST 2G,,Bayard,Street,Unit,2G,,,
none-roebling-street-unit-4b-brooklyn-ny-11211,Roebling Street Unit 4B,ROEBLING ST 4B,,Roebling,Street,Unit,4B,,,
none-201-north-11th-street-unit-ph-brooklyn-ny-11211,201 North 11th Street Unit PH,201 N 11TH ST PH,201,11th,Street,Unit,PH,,,
none-devoe-street-unit-na-brooklyn-ny-11211,Devoe Street Unit NA,DEVOE ST NA,,Devoe,Street,Unit,NA,,,
none-north-6th-street-unit-1-brooklyn-ny-11211,North 6th Street Unit 1,N 6TH ST 1,,6th,Street,Unit,1,,,
none-jackson-street-unit-1b-brooklyn-ny-11211,Jackson Street Unit 1B,JACKSON ST 1B,,Jackson,Street,Unit,1B,,,
none-74-jackson-street-unit-5-brooklyn-ny-11211,74 Jackson Street Unit 5,74 JACKSON ST 5,74,Jackson,Street,Unit,5,,,
none-union-avenue-unit-4d-5d-brooklyn-ny-11211,Union Avenue Unit 4D/5D,UNION AVE 4D/5D,,Union,Avenue,Unit,4D/5D,,,
none-170-south-4th-street-none-brooklyn-ny-11211,170 South 4th Street,170 S 4TH ST,170,4th,Street,,,,,
none-south-4th-street-unit-4a-brooklyn-ny-11211,South 4th Street Unit 4A,S 4TH ST 4A,,4th,Street,Unit,4A,,,
none-north-10th-street-unit-3a-brooklyn-ny-11211,North 10th Street Unit 3A,N 10TH ST 3A,,10th,Street,Unit,3A,,,
none-467-bedford-avenue-unit-6-brooklyn-ny-11211,467 Bedford Avenue Unit 6,467 BEDFORD AVE 6,467,Bedford,Avenue,Unit,6,,,
none-444-humboldt-street-unit-2-brooklyn-ny-11211,444 Humboldt Street Unit 2,444 HUMBOLDT ST 2,444,Humboldt,Street,Unit,2,,,
none-147-hope-street-unit-3a-brooklyn-ny-11211,147 Hope Street Unit 3A,147 HOPE ST 3A,147,Hope,Street,Unit,3A,,,
none-union-avenue-none-brooklyn-ny-11211,Union Avenue,UNION AVE,,Union,Avenue,,,,,
none-174-jackson-street-unit-2a-brooklyn-ny-11211,174 Jackson Street Unit 2A,174 JACKSON ST 2A,174,Jackson,Street,Unit,2A,,,
none-withers-street-unit-5e-brooklyn-ny-11211,Withers Street Unit 5E,WITHERS ST 5E,,Withers,Street,Unit,5E,,,
none-bushwick-avenue-unit-2b-brooklyn-ny-11211,Bushwick Avenue Unit 2B,BUSHWICK AVE 2B,,Bushwick,Avenue,Unit,2B,,,
