transaction_id,original_address,normalized_address,house,street,strtype,apttype,aptnbr,city,state,zip
none-234-powers-street-none-brooklyn-ny-11211,234 Powers Street,234 POWERS ST,234,Powers,Street,,,,,
none-360-south-3rd-street-none-brooklyn-ny-11211,360 South 3rd Street,360 S 3RD ST,360,3rd,Street,,,,,
none-329-grand-street-none-brooklyn-ny-11211,329 Grand Street,329 GRAND ST,329,Grand,Street,,,,,
none-80-roebling-street-unit-1-brooklyn-ny-11211,80 Roebling Street Unit 1,80 ROEBLING ST 1,80,Roebling,Street,Unit,1,,,
none-237-devoe-street-unit-1r-brooklyn-ny-11211,237 Devoe Street Unit 1R,237 DEVOE ST 1R,237,Devoe,Street,Unit,1R,,,
none-296-manhattan-avenue-none-brooklyn-ny-11211,296 Manhattan Avenue,296 MANHATTAN AVE,296,Manhattan,Avenue,,,,,
none-1-powers-street-unit-602-brooklyn-ny-11211,1 Powers Street Unit 602,1 POWERS ST 602,1,Powers,Street,Unit,602,,,
none-392-graham-avenue-unit-3b-brooklyn-ny-11211,392 Graham Avenue Unit 3B,392 GRAHAM AVE 3B,392,Graham,Avenue,Unit,3B,,,
none-108-jackson-street-unit-1a-brooklyn-ny-11211,108 Jackson Street Unit 1A,108 JACKSON ST 1A,108,Jackson,Street,Unit,1A,,,
none-50-bayard-street-unit-3n-brooklyn-ny-11211,50 Bayard Street Unit 3N,50 BAYARD ST 3N,50,Bayard,Street,Unit,3N,,,
none-532-lorimer-street-unit-1b-williamsburg-ny-11211,532 Lorimer Street Unit 1B,532 LORIMER ST 1B,532,Lorimer,Street,Unit,1B,,,
none-207-north-8th-street-unit-ph-brooklyn-ny-11211,207 North 8th Street Unit PH,207 N 8TH ST PH,207,8th,Street,Unit,PH,,,
none-183-south-2nd-street-none-brooklyn-ny-11211,183 South 2nd Street,183 S 2ND ST,183,2nd,Street,,,,,
none-40-skillman-avenue-unit-3b-brooklyn-ny-11211,40 Skillman Avenue Unit 3B,40 SKILLMAN AVE 3B,40,Skillman,Avenue,Unit,3B,,,
none-108-withers-street-none-brooklyn-ny-11211,108 Withers Street,108 WITHERS ST,108,Withers,Street,,,,,
none-390-broadway-none-williamsburg-ny-11211,390 Broadway,390 BRDWAY,390,Broadway,,,,,,
none-18-orient-avenue-none-brooklyn-ny-11211,18 Orient Avenue,18 ORIENT AVE,18,Orient,Avenue,,,,,
none-south-8th-street-unit-1a-brooklyn-ny-11211-0,South 8th Street Unit 1A,S 8TH ST 1A,,8th,Street,Unit,1A,,,
none-446-humboldt-street-none-brooklyn-ny-11211-0,446 Humboldt Street,446 HUMBOLDT ST,446,Humboldt,Street,,,,,
none-1-powers-street-unit-602-brooklyn-ny-11211-0,1 Powers Street Unit 602,1 POWERS ST 602,1,Powers,Street,Unit,602,,,
none-150-north-5th-street-unit-1h-brooklyn-ny-11211,150 North 5th Street Unit 1H,150 N 5TH ST 1H,150,5th,Street,Unit,1H,,,
none-128-woodpoint-road-unit-2-brooklyn-ny-11211-0,128 Woodpoint Road Unit 2,128 WOODPOINT RD 2,128,Woodpoint,Road,Unit,2,,,
none-108-withers-street-none-brooklyn-ny-11211-0,108 Withers Street,108 WITHERS ST,108,Withers,Street,,,,,
none-323-south-5th-street-unit-4-brooklyn-ny-11211-0,323 South 5th Street Unit 4,323 S 5TH ST 4,323,5th,Street,Unit,4,,,
none-139-skillman-avenue-unit-7a-brooklyn-ny-11211,139 Skillman Avenue Unit 7A,139 SKILLMAN AVE 7A,139,Skillman,Avenue,Unit,7A,,,
none-145-conselyea-street-none-brooklyn-ny-11211,145 Conselyea Street,145 CONSELYEA ST,145,Conselyea,Street,,,,,
none-30-devoe-street-unit-2b-brooklyn-ny-11211-0,30 Devoe Street Unit 2B,30 DEVOE ST 2B,30,Devoe,Street,Unit,2B,,,
none-726-metropolitan-avenue-unit-6-williamsburg-ny-11211-0,726 Metropolitan Avenue Unit 6,726 METROPOLITAN AVE 6,726,Metropolitan,Avenue,Unit,6,,,
none-union-avenue-unit-206-brooklyn-ny-11211,Union Avenue Unit 206,UNION AVE 206,,Union,Avenue,Unit,206,,,
none-skillman-avenue-unit-1-brooklyn-ny-11211,Skillman Avenue Unit 1,SKILLMAN AVE 1,,Skillman,Avenue,Unit,1,,,
none-207-north-8th-street-unit-ph-brooklyn-ny-11211-0,207 North 8th Street Unit PH,207 N 8TH ST PH,207,8th,Street,Unit,PH,,,
none-150-north-5th-street-unit-1h-brooklyn-ny-11211-0,150 North 5th Street Unit 1H,150 N 5TH ST 1H,150,5th,Street,Unit,1H,,,
none-308-north-7th-street-unit-phb-brooklyn-ny-11211,308 North 7th Street Unit PHB,308 N 7TH ST PHB,308,7th,Street,Unit,PHB,,,
none-25-conselyea-street-unit-2-brooklyn-ny-11211,25 Conselyea Street Unit 2,25 CONSELYEA ST 2,25,Conselyea,Street,Unit,2,,,
none-38-devoe-street-none-brooklyn-ny-11211,38 Devoe Street,38 DEVOE ST,38,Devoe,Street,,,,,
none-234-powers-street-unit-6-williamsburg-ny-11211,234 Powers Street Unit 6,234 POWERS ST 6,234,Powers,Street,Unit,6,,,
none-311-leonard-street-none-brooklyn-ny-11211,311 Leonard Street,311 LEONARD ST,311,Leonard,Street,,,,,
none-76-richardson-street-unit-7-brooklyn-ny-11211,76 Richardson Street Unit 7,76 RICHARDSON ST 7,76,Richardson,Street,Unit,7,,,
none-739-grand-street-none-brooklyn-ny-11211,739 Grand Street,739 GRAND ST,739,Grand,Street,,,,,
none-38-skillman-avenue-unit-1-brooklyn-ny-11211,38 Skillman Avenue Unit 1,38 SKILLMAN AVE 1,38,Skillman,Avenue,Unit,1,,,
none-250-manhattan-avenue-unit-2r-brooklyn-ny-11211,250 Manhattan Avenue Unit 2R,250 MANHATTAN AVE 2R,250,Manhattan,Avenue,Unit,2R,,,
none-230-south-2nd-street-none-williamsburg-ny-11211,230 South 2nd Street,230 S 2ND ST,230,2nd,Street,,,,,
none-156-devoe-street-unit-1f-brooklyn-ny-11211,156 Devoe Street Unit 1F,156 DEVOE ST 1F,156,Devoe,Street,Unit,1F,,,
none-170-south-1st-street-unit-2b-brooklyn-ny-11211,170 South 1st Street Unit 2B,170 S 1ST ST 2B,170,1st,Street,Unit,2B,,,
none-296-manhattan-avenue-none-brooklyn-ny-11211-0,296 Manhattan Avenue,296 MANHATTAN AVE,296,Manhattan,Avenue,,,,,
none-174-north-6th-street-unit-town-brooklyn-ny-11211,174 North 6th Street Unit TOWN,174 N 6TH ST TOWN,174,6th,Street,Unit,TOWN,,,
none-229-withers-street-unit-2d-brooklyn-ny-11211,229 Withers Street Unit 2D,229 WITHERS ST 2D,229,Withers,Street,Unit,2D,,,
none-229-withers-street-unit-2b-brooklyn-ny-11211,229 Withers Street Unit 2B,229 WITHERS ST 2B,229,Withers,Street,Unit,2B,,,
none-128-woodpoint-road-unit-1-brooklyn-ny-11211,128 Woodpoint Road Unit 1,128 WOODPOINT RD 1,128,Woodpoint,Road,Unit,1,,,
none-30-devoe-street-unit-2b-brooklyn-ny-11211,30 Devoe Street Unit 2B,30 DEVOE ST 2B,30,Devoe,Street,Unit,2B,,,
none-jackson-street-unit-ph-brooklyn-ny-11211,Jackson Street Unit PH,JACKSON ST PH,,Jackson,Street,Unit,PH,,,
none-240-powers-street-unit-6-brooklyn-ny-11211,240 Powers Street Unit 6,240 POWERS ST 6,240,Powers,Street,Unit,6,,,
none-40-skillman-avenue-unit-3b-brooklyn-ny-11211-0,40 Skillman Avenue Unit 3B,40 SKILLMAN AVE 3B,40,Skillman,Avenue,Unit,3B,,,
none-526-union-avenue-unit-206-brooklyn-ny-11211-0,526 Union Avenue Unit 206,526 UNION AVE 206,526,Union,Avenue,Unit,206,,,
none-550-metropolitan-avenue-unit-comm-brooklyn-ny-11211-0,550 Metropolitan Avenue Unit COMM,550 METROPOLITAN AVE COMM,550,Metropolitan,Avenue,Unit,COMM,,,
none-woodpoint-road-unit-5-brooklyn-ny-11211,Woodpoint Road Unit 5,WOODPOINT RD 5,,Woodpoint,Road,Unit,5,,,
none-skillman-avenue-unit-2-brooklyn-ny-11211-0,Skillman Avenue Unit 2,SKILLMAN AVE 2,,Skillman,Avenue,Unit,2,,,
none-710-metropolitan-avenue-unit-5h-brooklyn-ny-11211,710 Metropolitan Avenue Unit 5H,710 METROPOLITAN AVE 5H,710,Metropolitan,Avenue,Unit,5H,,,
none-250-manhattan-avenue-unit-2r-brooklyn-ny-11211-0,250 Manhattan Avenue Unit 2R,250 MANHATTAN AVE 2R,250,Manhattan,Avenue,Unit,2R,,,
none-171-north-1st-street-unit-4k-brooklyn-ny-11211,171 North 1st Street Unit 4K,171 N 1ST ST 4K,171,1st,Street,Unit,4K,,,
none-38-skillman-avenue-unit-1-brooklyn-ny-11211-0,38 Skillman Avenue Unit 1,38 SKILLMAN AVE 1,38,Skillman,Avenue,Unit,1,,,
none-woodpoint-road-unit-1-brooklyn-ny-11211-0,Woodpoint Road Unit 1,WOODPOINT RD 1,,Woodpoint,Road,Unit,1,,,
none-96-woodpoint-road-unit-2c-brooklyn-ny-11211-0,96 Woodpoint Road Unit 2C,96 WOODPOINT RD 2C,96,Woodpoint,Road,Unit,2C,,,
none-390-broadway-none-brooklyn-ny-11211,390 Broadway,390 BRDWAY,390,Broadway,,,,,,
none-72-richardson-street-unit-19-brooklyn-ny-11211-0,72 Richardson Street Unit 19,72 RICHARDSON ST 19,72,Richardson,Street,Unit,19,,,
none-390-broadway-none-williamsburg-ny-11211-0,390 Broadway,390 BRDWAY,390,Broadway,,,,,,
none-135-jackson-street-unit-1b-brooklyn-ny-11211-0,135 Jackson Street Unit 1B,135 JACKSON ST 1B,135,Jackson,Street,Unit,1B,,,
none-bayard-street-unit-3g-brooklyn-ny-11211-0,Bayard Street Unit 3G,BAYARD ST 3G,,Bayard,Street,Unit,3G,,,
none-north-11th-street-unit-5r-brooklyn-ny-11211-0,North 11th Street Unit 5R,N 11TH ST 5R,,11th,Street,Unit,5R,,,
none-manhattan-avenue-none-brooklyn-ny-11211-0,Manhattan Avenue,MANHATTAN AVE,,Manhattan,Avenue,,,,,
none-684-lorimer-street-none-brooklyn-ny-11211-0,684 Lorimer Street,684 LORIMER ST,684,Lorimer,Street,,,,,
none-manhattan-avenue-unit-3f-brooklyn-ny-11211-0,Manhattan Avenue Unit 3F,MANHATTAN AVE 3F,,Manhattan,Avenue,Unit,3F,,,
none-25-conselyea-street-unit-1-brooklyn-ny-11211,25 Conselyea Street Unit 1,25 CONSELYEA ST 1,25,Conselyea,Street,Unit,1,,,
none-bushwick-avenue-unit-7b-brooklyn-ny-11211-0,Bushwick Avenue Unit 7B,BUSHWICK AVE 7B,,Bushwick,Avenue,Unit,7B,,,
none-550-metropolitan-avenue-unit-comm-brooklyn-ny-11211,550 Metropolitan Avenue Unit COMM,550 METROPOLITAN AVE COMM,550,Metropolitan,Avenue,Unit,COMM,,,
none-446-humboldt-street-none-brooklyn-ny-11211,446 Humboldt Street,446 HUMBOLDT ST,446,Humboldt,Street,,,,,
none-183-south-2nd-street-none-williamsburg-ny-11211,183 South 2nd Street,183 S 2ND ST,183,2nd,Street,,,,,
none-415-bedford-avenue-unit-23a-brooklyn-ny-11211,415 Bedford Avenue Unit 23A,415 BEDFORD AVE 23A,415,Bedford,Avenue,Unit,23A,,,
none-88-withers-street-unit-7d-brooklyn-ny-11211,88 Withers Street Unit 7D,88 WITHERS ST 7D,88,Withers,Street,Unit,7D,,,
none-171-north-1st-street-unit-3k-brooklyn-ny-11211,171 North 1st Street Unit 3K,171 N 1ST ST 3K,171,1st,Street,Unit,3K,,,
none-980-metropolitan-avenue-none-williamsburg-ny-11211,980 Metropolitan Avenue,980 METROPOLITAN AVE,980,Metropolitan,Avenue,,,,,
none-72-richardson-street-unit-19-brooklyn-ny-11211,72 Richardson Street Unit 19,72 RICHARDSON ST 19,72,Richardson,Street,Unit,19,,,
none-526-union-avenue-unit-206-brooklyn-ny-11211,526 Union Avenue Unit 206,526 UNION AVE 206,526,Union,Avenue,Unit,206,,,
none-549-metropolitan-avenue-unit-a-brooklyn-ny-11211,549 Metropolitan Avenue Unit A,549 METROPOLITAN AVE A,549,Metropolitan,Avenue,Unit,A,,,
none-224-north-6th-street-unit-3-brooklyn-ny-11211,224 North 6th Street Unit 3,224 N 6TH ST 3,224,6th,Street,Unit,3,,,
none-south-5th-street-unit-2-brooklyn-ny-11211-0,South 5th Street Unit 2,S 5TH ST 2,,5th,Street,Unit,2,,,
none-skillman-avenue-unit-1a-brooklyn-ny-11211-0,Skillman Avenue Unit 1A,SKILLMAN AVE 1A,,Skillman,Avenue,Unit,1A,,,
none-170-south-1st-street-unit-2b-brooklyn-ny-11211-0,170 South 1st Street Unit 2B,170 S 1ST ST 2B,170,1st,Street,Unit,2B,,,
none-237-devoe-street-unit-1r-brooklyn-ny-11211-0,237 Devoe Street Unit 1R,237 DEVOE ST 1R,237,Devoe,Street,Unit,1R,,,
none-156-devoe-street-unit-1f-brooklyn-ny-11211-0,156 Devoe Street Unit 1F,156 DEVOE ST 1F,156,Devoe,Street,Unit,1F,,,
none-230-south-2nd-street-none-brooklyn-ny-11211,230 South 2nd Street,230 S 2ND ST,230,2nd,Street,,,,,
none-100-maspeth-avenue-unit-7c-brooklyn-ny-11211,100 Maspeth Avenue Unit 7C,100 MASPETH AVE 7C,100,Maspeth,Avenue,Unit,7C,,,
none-bushwick-avenue-unit-2b-brooklyn-ny-11211-0,Bushwick Avenue Unit 2B,BUSHWICK AVE 2B,,Bushwick,Avenue,Unit,2B,,,
none-south-5th-street-unit-c2-brooklyn-ny-11211,South 5th Street Unit C2,S 5TH ST C2,,5th,Street,Unit,C2,,,
none-170-north-11th-street-unit-3a-brooklyn-ny-11211,170 North 11th Street Unit 3A,170 N 11TH ST 3A,170,11th,Street,Unit,3A,,,
none-171-north-1st-street-unit-1a-brooklyn-ny-11211,171 North 1st Street Unit 1A,171 N 1ST ST 1A,171,1st,Street,Unit,1A,,,
none-171-north-1st-street-unit-6d-brooklyn-ny-11211,171 North 1st Street Unit 6D,171 N 1ST ST 6D,171,1st,Street,Unit,6D,,,
none-jackson-street-unit-3b-brooklyn-ny-11211-0,Jackson Street Unit 3B,JACKSON ST 3B,,Jackson,Street,Unit,3B,,,
none-224-north-6th-street-unit-3-brooklyn-ny-11211-0,224 North 6th Street Unit 3,224 N 6TH ST 3,224,6th,Street,Unit,3,,,
none-240-powers-street-unit-6-brooklyn-ny-11211-0,240 Powers Street Unit 6,240 POWERS ST 6,240,Powers,Street,Unit,6,,,
none-739-grand-street-none-brooklyn-ny-11211-0,739 Grand Street,739 GRAND ST,739,Grand,Street,,,,,
none-239-jackson-street-none-brooklyn-ny-11211,239 Jackson Street,239 JACKSON ST,239,Jackson,Street,,,,,
none-139-jackson-street-unit-1b-brooklyn-ny-11211,139 Jackson Street Unit 1B,139 JACKSON ST 1B,139,Jackson,Street,Unit,1B,,,
none-18-orient-avenue-none-brooklyn-ny-11211-0,18 Orient Avenue,18 ORIENT AVE,18,Orient,Avenue,,,,,
none-532-lorimer-street-unit-1b-williamsburg-ny-11211-0,532 Lorimer Street Unit 1B,532 LORIMER ST 1B,532,Lorimer,Street,Unit,1B,,,
none-230-south-2nd-street-none-williamsburg-ny-11211-0,230 South 2nd Street,230 S 2ND ST,230,2nd,Street,,,,,
none-549-metropolitan-avenue-unit-a-brooklyn-ny-11211-0,549 Metropolitan Avenue Unit A,549 METROPOLITAN AVE A,549,Metropolitan,Avenue,Unit,A,,,
none-north-8th-street-none-brooklyn-ny-11211-0,North 8th Street,N 8TH ST,,8th,Street,,,,,
none-manhattan-avenue-unit-4f-brooklyn-ny-11211-0,Manhattan Avenue Unit 4F,MANHATTAN AVE 4F,,Manhattan,Avenue,Unit,4F,,,
none-skillman-avenue-unit-3-brooklyn-ny-11211-0,Skillman Avenue Unit 3,SKILLMAN AVE 3,,Skillman,Avenue,Unit,3,,,
none-jackson-street-unit-ph-brooklyn-ny-11211-0,Jackson Street Unit PH,JACKSON ST PH,,Jackson,Street,Unit,PH,,,
none-230-south-2nd-street-none-brooklyn-ny-11211-0,230 South 2nd Street,230 S 2ND ST,230,2nd,Street,,,,,
none-north-8th-street-unit-ph-brooklyn-ny-11211-0,North 8th Street Unit PH,N 8TH ST PH,,8th,Street,Unit,PH,,,
none-153-south-4th-street-unit-5-brooklyn-ny-11211,153 South 4th Street Unit 5,153 S 4TH ST 5,153,4th,Street,Unit,5,,,
none-74-jackson-street-unit-3-brooklyn-ny-11211,74 Jackson Street Unit 3,74 JACKSON ST 3,74,Jackson,Street,Unit,3,,,
none-devoe-street-unit-2r-brooklyn-ny-11211-0,Devoe Street Unit 2R,DEVOE ST 2R,,Devoe,Street,Unit,2R,,,
none-lorimer-street-unit-1-brooklyn-ny-11211,Lorimer Street Unit 1,LORIMER ST 1,,Lorimer,Street,Unit,1,,,
none-skillman-avenue-unit-3b-brooklyn-ny-11211,Skillman Avenue Unit 3B,SKILLMAN AVE 3B,,Skillman,Avenue,Unit,3B,,,
none-229-withers-street-unit-2a-brooklyn-ny-11211,229 Withers Street Unit 2A,229 WITHERS ST 2A,229,Withers,Street,Unit,2A,,,
none-division-avenue-unit-16-brooklyn-ny-11211-0,Division Avenue Unit 16,DIVISION AVE 16,,Division,Avenue,Unit,16,,,
none-havemeyer-street-unit-6a-brooklyn-ny-11211-0,Havemeyer Street Unit 6A,HAVEMEYER ST 6A,,Havemeyer,Street,Unit,6A,,,
none-329-grand-street-none-brooklyn-ny-11211-0,329 Grand Street,329 GRAND ST,329,Grand,Street,,,,,
none-183-south-2nd-street-none-brooklyn-ny-11211-0,183 South 2nd Street,183 S 2ND ST,183,2nd,Street,,,,,
none-452-graham-avenue-none-brooklyn-ny-11211,452 Graham Avenue,452 GRAHAM AVE,452,Graham,Avenue,,,,,
none-360-south-3rd-street-none-brooklyn-ny-11211-0,360 South 3rd Street,360 S 3RD ST,360,3rd,Street,,,,,
none-devoe-street-none-brooklyn-ny-11211-0,Devoe Street,DEVOE ST,,Devoe,Street,,,,,
none-skillman-avenue-unit-4f-brooklyn-ny-11211-0,Skillman Avenue Unit 4F,SKILLMAN AVE 4F,,Skillman,Avenue,Unit,4F,,,
none-80-roebling-street-unit-1-brooklyn-ny-11211-0,80 Roebling Street Unit 1,80 ROEBLING ST 1,80,Roebling,Street,Unit,1,,,
none-250-manhattan-avenue-unit-4r-brooklyn-ny-11211,250 Manhattan Avenue Unit 4R,250 MANHATTAN AVE 4R,250,Manhattan,Avenue,Unit,4R,,,
none-maspeth-avenue-unit-2d-brooklyn-ny-11211-0,Maspeth Avenue Unit 2D,MASPETH AVE 2D,,Maspeth,Avenue,Unit,2D,,,
none-bayard-street-unit-3b-brooklyn-ny-11211-0,Bayard Street Unit 3B,BAYARD ST 3B,,Bayard,Street,Unit,3B,,,
none-224-north-6th-street-unit-1-brooklyn-ny-11211,224 North 6th Street Unit 1,224 N 6TH ST 1,224,6th,Street,Unit,1,,,
none-bushwick-avenue-unit-5a-brooklyn-ny-11211,Bushwick Avenue Unit 5A,BUSHWICK AVE 5A,,Bushwick,Avenue,Unit,5A,,,
none-north-11th-street-unit-4w-brooklyn-ny-11211-0,North 11th Street Unit 4W,N 11TH ST 4W,,11th,Street,Unit,4W,,,
none-grand-street-none-brooklyn-ny-11211-0,Grand Street,GRAND ST,,Grand,Street,,,,,
none-74-jackson-street-unit-2-brooklyn-ny-11211,74 Jackson Street Unit 2,74 JACKSON ST 2,74,Jackson,Street,Unit,2,,,
none-maspeth-avenue-unit-7c-brooklyn-ny-11211,Maspeth Avenue Unit 7C,MASPETH AVE 7C,,Maspeth,Avenue,Unit,7C,,,
none-150-richardson-street-unit-2a-brooklyn-ny-11211,150 Richardson Street Unit 2A,150 RICHARDSON ST 2A,150,Richardson,Street,Unit,2A,,,
none-30-bushwick-avenue-unit-3b-brooklyn-ny-11211,30 Bushwick Avenue Unit 3B,30 BUSHWICK AVE 3B,30,Bushwick,Avenue,Unit,3B,,,
none-179-jackson-street-unit-3a-brooklyn-ny-11211,179 Jackson Street Unit 3A,179 JACKSON ST 3A,179,Jackson,Street,Unit,3A,,,
